Date,General.Area,nFL,meanFL,sdFL,seFL,nWt,meanWt,sdWt,seWt
2020-06-03T00:00:00Z,Upper Chena Mainstem,47,37.340425531914896,1.8913601701545355,0.2758832351390477,42,0.40476190476190477,0.0986553027325901,0.015222843703162972
2020-06-19T00:00:00Z,Lower Chena Mainstem,6,38.833333333333336,0.408248290463863,0.16666666666666669,6,0.5166666666666666,0.07527726527090808,0.030731814857642953
2020-06-19T00:00:00Z,Upper Chena Mainstem,104,40.63461538461539,3.253251375290415,0.31900754317746904,72,0.6027777777777777,0.20416247480606184,0.024060778399865666
2020-07-01T00:00:00Z,Lower Chena Mainstem,25,50.64,4.386342439892261,0.8772684879784522,24,1.2333333333333334,0.4166811591682507,0.08505468544946959
2020-07-02T00:00:00Z,Upper Chena Mainstem,118,42.440677966101696,3.7061795771118478,0.3411814848062309,52,0.6673076923076923,0.212105369528462,0.029413722524465655
2020-07-20T00:00:00Z,Lower Chena Mainstem,14,55.285714285714285,4.046433784658581,1.0814549186042441,14,1.8,0.40191847623425014,0.10741723110591492
2020-07-29T00:00:00Z,Upper Chena Mainstem,3,62.333333333333336,6.110100926607787,3.527668414752788,3,2.466666666666667,0.9291573243177569,0.5364492313143694
2020-08-03T00:00:00Z,Lower Chena Mainstem,15,55.6,4.7629522657396315,1.2297889869326983,15,1.8,0.39999999999999997,0.10327955589886444
2020-08-18T00:00:00Z,Upper Chena Mainstem,9,60.111111111111114,4.5399461572920785,1.5133153857640262,9,2.011111111111111,0.6845517592637617,0.2281839197545872
2020-08-19T00:00:00Z,Upper Chena Mainstem,182,64.92857142857143,4.542051176190661,0.33667923305910785,173,2.9104046242774566,0.6775523307529274,0.05151334979949256
2020-08-21T00:00:00Z,Lower Chena Mainstem,109,63.22935779816514,5.094719538536999,0.48798562898405123,109,2.7036697247706423,0.6970741240016741,0.06676759187163117
2020-09-01T00:00:00Z,Upper Chena Mainstem,146,66.67123287671232,5.3782571065369416,0.4451077251787506,146,3.01986301369863,0.7170456497768872,0.0593431202152063
2020-09-03T00:00:00Z,Lower Chena Mainstem,157,66.80254777070064,4.995433158557282,0.39867896860792346,111,3.109009009009009,0.8264435909419402,0.07844255423809501
2020-09-16T00:00:00Z,Upper Chena Mainstem,70,69.27142857142857,4.854167277565961,0.5801839604641683,70,3.354285714285714,0.724255882855591,0.08656513516677415
2020-09-17T00:00:00Z,Lower Chena Mainstem,39,68.12820512820512,4.85136707363305,0.7768404529316484,40,3.1375,0.6471584833439971,0.10232474072335859
