SiteID,week,nObs,meanTurb,sdTurb,seTurb
FirstBridge,28,480,10.599583333333333,26.609062605993078,1.2145319852808008
FirstBridge,29,672,15.159821428571428,56.07880439880704,2.1632868451512053
FirstBridge,30,653,42.05803981623277,66.1979137797395,2.590524549337351
FirstBridge,31,87,111.48045977011495,39.6950698100912,4.255758191466009
FirstBridge,33,101,4.035643564356436,1.9283456203915232,0.19187756078681198
Mile28,28,480,11.476875,27.3999144091626,1.250629266300766
Mile28,29,671,25.265722801788375,23.45485952335592,0.9054648090937841
Mile28,30,656,74.14435975609756,95.51110913469218,3.729082303929521
Mile28,31,32,126,0,0
Mile28,33,110,13.94909090909091,32.940899943295854,3.140791575201485
Mile28,34,672,5.4227678571428575,21.697336216340627,0.8369929158587948
Mile28,35,670,39.62701492537313,60.679266842627726,2.3442445954341284
Mile28,36,665,6.533233082706767,23.72826638898457,0.9201427037302378
Mile28,37,615,41.99967479674797,37.97839304994731,1.5314366169176696
Mile28,38,377,41.254111405835545,43.287417590048214,2.229415430282805
